cycle,category,l1_count,l2_count,folder_status,date,verdict,evidence_l1,evidence_l2
atom_from_soliton,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
atomic_shells_closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
audyt_cosmology_drift_2026-05-03,STRUCTURAL_OR_OTHER,0,0,?,2026-05-03,?,,
cabibbo_correction,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
casimir_mof,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
closure_2026-04-26,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
cohesion_closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
continuum_limit,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
cosmo_tensions,STRUCTURAL_OR_OTHER,1,0,paused,2026-05-03,?,w_eff,
desi_dark_energy,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
em_from_substrate,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
external_review_2026-04-25,STRUCTURAL_OR_OTHER,0,0,review,2026-05-03,?,,
galaxy_scaling,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
hubble_tension,STRUCTURAL_OR_OTHER,1,0,paused,2026-05-03,?,H_0,
liquid_viscosity,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
mass_scaling_k4,STRUCTURAL_OR_OTHER,1,0,paused,2026-05-03,?,mas,
muon_g_minus_2,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
nbody,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
neutrino_msw,STRUCTURAL_OR_OTHER,0,0,needs-bridge,2026-05-03,?,,
op-alpha-fine-structure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-bh-alpha-threshold,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-chi1-newton-constant-derivation,STRUCTURAL_OR_OTHER,0,0,needs-bridge,2026-05-03,?,,
op-CORE-CLEANUP-B-2026-05-04,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-04,?,,
op-cosmology-closure,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-cross-sector-charge,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-D01-anchor-lock-2026-05-06,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-06,?,,
op-delta1-g-tilde-derivation,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-02,?,,
op-dual-V-structure-clarification-2026-05-09,STRUCTURAL_OR_OTHER,0,0,closed-resolved,2026-05-09,?,,
op-eht,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-eht-A,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-eps-photon-ring,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-eta-wolfenstein,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-eta2-denom-derivation,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-foundations-3.5.3-extension-2026-05-10,STRUCTURAL_OR_OTHER,1,0,closed-resolved,2026-05-10,?,H_0,
op-FRW-radiation-era-varying-c-2026-05-06,STRUCTURAL_OR_OTHER,1,0,active,2026-05-06,?,D/H,
op-gamma-identification-first-principles-2026-05-10,STRUCTURAL_OR_OTHER,0,0,closed,2026-05-10,STRUCTURAL_AUDIT_DERIVED_VERDICT_GF_D,,
op-iota-charge-pmns-unification,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-kappa-mixing-numerator,STRUCTURAL_OR_OTHER,0,0,paused,2026-05-03,?,,
op-L01-N3-SPARC-rho-consistency-2026-05-11,STRUCTURAL_OR_OTHER,0,0,?,2026-05-11,?,,
