soft,beta,gamma,n_quad,t_final,dt,renorm_every,H_N_ref,branch,H_model,lambda_max,steps
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Newton v=0,-1.2816666666666134e+01,2.3032205482018844e-01,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Yukawa v=0,-1.9396260956355627e+02,5.1457354771870349e+00,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Yukawa H=H_N,-1.2816666666666094e+01,5.3726746770840075e+00,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Coulomb v=0,-3.0785958797964429e+02,9.8990421856439763e+00,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Coulomb H=H_N,-1.2816666666666208e+01,4.5361048636187489e+00,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Pairwise v=0,-1.8152865164570466e+02,8.7798792589136490e+00,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,1.2500000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Pairwise H=H_N,-1.2816666666666094e+01,4.2191049789805817e+00,25
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Newton v=0,-1.2816666666666134e+01,2.8025417995889595e-01,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Yukawa v=0,-1.9396260956355627e+02,3.3885357020729967e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Yukawa H=H_N,-1.2816666666666094e+01,3.5300253043757457e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Coulomb v=0,-3.0785958797964429e+02,6.3585046624408221e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Coulomb H=H_N,-1.2816666666666208e+01,3.0176935580324438e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Pairwise v=0,-1.8152865164570466e+02,5.6587285066818485e+00,40
9.9999999999999995e-07,8.0000000000000002e-02,8.0000000000000002e-02,12,2.0000000000000000e+00,5.0000000000000003e-02,7,-1.2816666666666134e+01,Pairwise H=H_N,-1.2816666666666094e+01,2.8076473931496064e+00,40
