==============================================================================
[R-CONTROL] mu/tau, omega in {0.05..0.25}, R in {40, 80}, h=0.015
  (LOCK sec. 5: kontrola R dla wynikow granicznych; edge(omega)
   niezalezna od R -- z prozni omega)
    tag  omega  R    N      loc(L+) [lam<edge-1e-3]      lam_min(L-) uwagi
    mu   0.05   40   2666   2: ['-1.2611', '-1.1049']    0.0054    
    mu   0.05   80   5333   2: ['-1.2608', '-1.1049']    0.0015    
    mu   0.10   40   2666   2: ['-3.3532', '-1.2009']    0.0039    
    mu   0.10   80   5333   2: ['-3.3532', '-1.2008']    0.0012    
    mu   0.15   40   2666   0: []                        0.0032    
    mu   0.15   80   5333   0: []                        0.0009    
    mu   0.20   40   2666   0: []                        -0.0047   
    mu   0.20   80   5333   0: []                        -0.0042   
    mu   0.25   40   2666   0: []                        -0.0117   
    mu   0.25   80   5333   0: []                        -0.0129   
    tau  0.05   40   2666   2: ['-4.2007', '-1.2461']    -0.0037   
    tau  0.05   80   5333   2: ['-4.2007', '-1.2461']    -0.0052   
    tau  0.10   40   2666   1: ['-4.1647']               -0.0125   
    tau  0.10   80   5333   1: ['-4.1649']               -0.0096   
    tau  0.15   40   2666   2: ['-4.0989', '-1.3083']    -0.0054   
    tau  0.15   80   5333   2: ['-4.0986', '-1.3083']    -0.0043   
    tau  0.20   40   2666   2: ['-4.0098', '-3.6260']    -0.0245   
    tau  0.20   80   5333   2: ['-4.0099', '-3.6260']    -0.0258   
    tau  0.25   40   2666   1: ['-3.8925']               -0.0286   
    tau  0.25   80   5333   1: ['-3.8926']               -0.0325   
==============================================================================
