# OP-6 / M2-b envelope stiffness scan
# Part B (Gaussian, λ=0):
# beta  m0^2   <Phi>_MC chi       xi2       K_MC      K_err     <Phi>_ex K_ex
  5.0000e-01  2.0200e+00  6.8280e+00  6.2296e+02  8.0773e+00  1.2966e-02  1.0479e-01  7.0535e+00  1.7546e-02
  5.0000e-01  2.0500e+00  4.4745e+00  1.8644e+02  8.5236e+01  4.5717e-01  5.9872e-01  4.4444e+00  2.7439e-02
  5.0000e-01  2.1000e+00  3.1388e+00         nan         nan         nan         nan  3.1235e+00  3.8114e-02
  5.0000e-01  2.2000e+00  2.1958e+00         nan         nan         nan         nan  2.1822e+00  5.2075e-02
  1.0000e+00  2.0200e+00  3.4564e+00         nan         nan         nan         nan  3.5267e+00  7.0185e-02
  1.0000e+00  2.0500e+00  2.2385e+00         nan         nan         nan         nan  2.2222e+00  1.0976e-01
  1.0000e+00  2.1000e+00  1.5795e+00         nan         nan         nan         nan  1.5617e+00  1.5246e-01
  1.0000e+00  2.2000e+00  1.0925e+00  6.0460e+00  1.3909e+02  2.3006e+01  1.5424e+01  1.0911e+00  2.0830e-01
  2.0000e+00  2.0200e+00  1.7371e+00  4.4315e+01  5.2371e+01  1.1818e+00  1.7644e+00  1.7634e+00  2.8074e-01
  2.0000e+00  2.0500e+00  1.0972e+00  1.0534e+01  4.7119e+01  4.4729e+00  7.8989e+00  1.1111e+00  4.3902e-01
  2.0000e+00  2.1000e+00  7.7609e-01  3.8409e+00  3.0547e+01  7.9531e+00  2.4048e+01  7.8087e-01  6.0982e-01
  2.0000e+00  2.2000e+00  5.4488e-01  1.4356e+00  8.9442e+00  6.2305e+00  1.0484e+01  5.4554e-01  8.3320e-01
  4.0000e+00  2.0200e+00  8.7846e-01  1.0914e+01  9.4902e+01  8.6951e+00  1.9710e+01  8.8168e-01  1.1230e+00
  4.0000e+00  2.0500e+00  5.5056e-01  2.6613e+00  7.5633e+01  2.8419e+01  5.7294e+01  5.5556e-01  1.7561e+00
  4.0000e+00  2.1000e+00  3.9251e-01  9.9993e-01  3.0142e-01  3.0145e-01  3.5803e+01  3.9043e-01  2.4393e+00
  4.0000e+00  2.2000e+00  2.7344e-01         nan         nan         nan         nan  2.7277e-01  3.3328e+00
# Gaussian MC fit:  K = 2.9063e+00 * Phi^-1.7064 ± 0.6755
# Gaussian analytical fit (same param range): K = 4.2314e-01 * Phi^-1.7444

# Part C (Full H_1, λ=1):
# beta  m0^2   lam    <Phi>    chi       xi2       K_eff     K_err
  3.0000e-01  -1.0000e+00  1.0000e+00  1.9764e+00  4.1540e+00  9.7460e+00  2.3462e+00  4.1537e+00
  3.0000e-01  0.0000e+00  1.0000e+00  1.4715e+00  2.7572e+00  6.6412e+01  2.4087e+01  1.5929e+01
  3.0000e-01  1.0000e+00  1.0000e+00  1.1379e+00  1.8522e+00  5.5924e+01  3.0194e+01  2.1308e+01
  3.0000e-01  2.0000e+00  1.0000e+00  9.0985e-01  1.3073e+00  1.1710e+02  8.9579e+01  3.6453e+01
  3.0000e-01  3.0000e+00  1.0000e+00  7.4874e-01  9.1845e-01  2.3956e+01  2.6083e+01  3.6477e+01
  5.0000e-01  -1.0000e+00  1.0000e+00  2.0195e+00  3.7340e+00  5.2838e+01  1.4151e+01  1.5553e+01
  5.0000e-01  0.0000e+00  1.0000e+00  1.3020e+00         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  1.0000e+00  8.9853e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  1.0000e+00  6.6551e-01         nan         nan         nan         nan
  5.0000e-01  3.0000e+00  1.0000e+00  5.2075e-01         nan         nan         nan         nan
  7.0000e-01  -1.0000e+00  1.0000e+00  2.2291e+00  3.4757e+00  2.1251e+01  6.1142e+00  1.4951e+01
  7.0000e-01  0.0000e+00  1.0000e+00  1.2690e+00  1.9976e+00  1.0836e+02  5.4244e+01  2.5206e+01
  7.0000e-01  1.0000e+00  1.0000e+00  7.8132e-01  9.6357e-01  6.3194e+01  6.5583e+01  4.8044e+01
  7.0000e-01  2.0000e+00  1.0000e+00  5.3906e-01  5.0914e-01  3.5912e+01  7.0534e+01  8.9821e+01
  7.0000e-01  3.0000e+00  1.0000e+00  4.0529e-01  2.9844e-01  3.2591e-01  1.0920e+00  6.1942e+01
  1.0000e+00  -1.0000e+00  1.0000e+00  2.5422e+00  2.5780e+00  1.5562e+01  6.0365e+00  7.3293e+00
  1.0000e+00  0.0000e+00  1.0000e+00  1.3290e+00  1.9546e+00  3.6365e+01  1.8605e+01  2.3611e+01
  1.0000e+00  1.0000e+00  1.0000e+00  6.9086e-01         nan         nan         nan         nan
  1.0000e+00  2.0000e+00  1.0000e+00  4.3164e-01         nan         nan         nan         nan
  1.0000e+00  3.0000e+00  1.0000e+00  3.0771e-01         nan         nan         nan         nan
  1.5000e+00  -1.0000e+00  1.0000e+00  2.7360e+00         nan         nan         nan         nan
  1.5000e+00  0.0000e+00  1.0000e+00  1.5360e+00         nan         nan         nan         nan
  1.5000e+00  1.0000e+00  1.0000e+00  6.2559e-01         nan         nan         nan         nan
  1.5000e+00  2.0000e+00  1.0000e+00  3.3316e-01         nan         nan         nan         nan
  1.5000e+00  3.0000e+00  1.0000e+00  2.2263e-01  9.8140e-02  1.8501e+01  1.8852e+02  2.0796e+02
  2.0000e+00  -1.0000e+00  1.0000e+00  2.8128e+00         nan         nan         nan         nan
  2.0000e+00  0.0000e+00  1.0000e+00  1.7150e+00         nan         nan         nan         nan
  2.0000e+00  1.0000e+00  1.0000e+00  6.1085e-01  6.5288e-01  9.3590e+01  1.4335e+02  9.2988e+01
  2.0000e+00  2.0000e+00  1.0000e+00  2.7759e-01  1.6115e-01  2.4689e+01  1.5321e+02  2.0530e+02
  2.0000e+00  3.0000e+00  1.0000e+00  1.7540e-01  6.4006e-02  3.6415e+01  5.6893e+02  5.3479e+02
  3.0000e+00  -1.0000e+00  1.0000e+00  2.8492e+00  7.7634e-01  1.1935e+02  1.5374e+02  8.7159e+01
  3.0000e+00  0.0000e+00  1.0000e+00  1.8316e+00  7.5005e-01  9.7254e+01  1.2966e+02  5.0948e+01
  3.0000e+00  1.0000e+00  1.0000e+00  6.4966e-01         nan         nan         nan         nan
  3.0000e+00  2.0000e+00  1.0000e+00  2.1314e-01         nan         nan         nan         nan
  3.0000e+00  3.0000e+00  1.0000e+00  1.2425e-01  3.3912e-02  5.0699e-02  1.4950e+00  2.5337e+02
# Full H_1 fit: K = 2.9680e+01 * Phi^-0.2826 ± 0.4337
# H_1 verdict: FLAT

# Part E (H_3 bilinear bond -J Σ (s_is_j)^2):
# beta  m0^2   lam    <Phi>    chi       xi2       K_eff     K_err
  2.0000e-01  5.0000e-01  6.0000e+00  7.6866e-01  8.6442e-01  1.2485e+00  1.4444e+00  3.4789e+01
  2.0000e-01  1.0000e+00  6.0000e+00  7.3004e-01  8.1686e-01  6.4656e+01  7.9152e+01  6.3099e+01
  2.0000e-01  2.0000e+00  6.0000e+00  6.5990e-01         nan         nan         nan         nan
  2.0000e-01  3.0000e+00  8.0000e+00  5.0717e-01  3.8161e-01  3.3579e+01  8.7995e+01  9.1988e+01
  2.0000e-01  4.0000e+00  1.0000e+01  4.2249e-01         nan         nan         nan         nan
  3.0000e-01  5.0000e-01  6.0000e+00  6.2022e-01         nan         nan         nan         nan
  3.0000e-01  1.0000e+00  6.0000e+00  5.8048e-01  4.8747e-01  2.1364e+01  4.3827e+01  7.8523e+01
  3.0000e-01  2.0000e+00  6.0000e+00  5.1481e-01         nan         nan         nan         nan
  3.0000e-01  3.0000e+00  8.0000e+00  3.9407e-01  2.2713e-01  3.7797e+01  1.6641e+02  2.5360e+02
  3.0000e-01  4.0000e+00  1.0000e+01  3.2743e-01         nan         nan         nan         nan
  5.0000e-01  5.0000e-01  6.0000e+00  4.7063e-01         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  6.0000e+00  4.3337e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  6.0000e+00  3.7271e-01         nan         nan         nan         nan
  5.0000e-01  3.0000e+00  8.0000e+00  2.8445e-01  1.1949e-01  3.1551e+01  2.6405e+02  3.8060e+02
  5.0000e-01  4.0000e+00  1.0000e+01  2.3422e-01         nan         nan         nan         nan
  7.0000e-01  5.0000e-01  6.0000e+00  3.9136e-01  2.2050e-01  2.1457e+01  9.7310e+01  1.6428e+02
  7.0000e-01  1.0000e+00  6.0000e+00  3.5567e-01  1.8473e-01  2.1778e+01  1.1789e+02  1.7437e+02
  7.0000e-01  2.0000e+00  6.0000e+00  2.9961e-01         nan         nan         nan         nan
  7.0000e-01  3.0000e+00  8.0000e+00  2.2716e-01         nan         nan         nan         nan
  7.0000e-01  4.0000e+00  1.0000e+01  1.8592e-01         nan         nan         nan         nan
  1.0000e+00  5.0000e-01  6.0000e+00  3.2149e-01         nan         nan         nan         nan
  1.0000e+00  1.0000e+00  6.0000e+00  2.8808e-01  1.2494e-01  3.6835e+01  2.9483e+02  1.9102e+02
  1.0000e+00  2.0000e+00  6.0000e+00  2.3622e-01  8.7510e-02  2.0750e+01  2.3711e+02  2.2866e+02
  1.0000e+00  3.0000e+00  8.0000e+00  1.7721e-01  4.9347e-02  9.4711e+01  1.9193e+03  3.4226e+02
  1.0000e+00  4.0000e+00  1.0000e+01  1.4423e-01  3.1940e-02  8.7599e+00  2.7426e+02  4.8441e+02
# H_3 bilinear fit: K = 9.2438e+00 * Phi^-2.4909 ± 0.6332
# H_3 bilinear verdict: UNCLEAR
