# OP-6 / M3-a block-RG bond-form test of H_1 in 1D
# N = 4096, lam = 1.0, J = 1.0
# beta_list = [0.3, 0.5, 0.7, 1.0, 1.5, 2.0, 3.0]
# m2_list = [-1.0, 0.0, 1.0, 2.0, 3.0]
# block_sizes = [1, 2, 4, 8, 16]

# Block size B = 1
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  3.0000e-01  -1.0000e+00  1.9741e+00  4.1613e+00  1.2514e+03  3.0072e+02  1.8691e+02
  3.0000e-01  0.0000e+00  1.4717e+00  2.6914e+00  7.9295e+02  2.9463e+02  2.1894e+02
  3.0000e-01  1.0000e+00  1.1383e+00  1.8218e+00  8.4734e+01  4.6512e+01  2.1937e+02
  3.0000e-01  2.0000e+00  9.1015e-01         nan         nan         nan         nan
  3.0000e-01  3.0000e+00  7.4960e-01  9.5142e-01  1.5529e+03  1.6322e+03  5.7036e+02
  5.0000e-01  -1.0000e+00  2.0196e+00         nan         nan         nan         nan
  5.0000e-01  0.0000e+00  1.3021e+00         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  8.9869e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  6.6507e-01  7.1652e-01  2.8029e+02  3.9118e+02  1.0289e+03
  5.0000e-01  3.0000e+00  5.2028e-01  4.7161e-01  1.0279e+03  2.1795e+03  7.3049e+02
  7.0000e-01  -1.0000e+00  2.2265e+00  3.3787e+00  7.2145e+02  2.1353e+02  2.2638e+02
  7.0000e-01  0.0000e+00  1.2687e+00  2.0308e+00  2.8452e+02  1.4010e+02  1.2681e+02
  7.0000e-01  1.0000e+00  7.8159e-01  9.4711e-01  7.8701e+02  8.3096e+02  6.5537e+02
  7.0000e-01  2.0000e+00  5.3976e-01         nan         nan         nan         nan
  7.0000e-01  3.0000e+00  4.0505e-01  2.9523e-01  3.4099e+02  1.1550e+03  1.2582e+03
  1.0000e+00  -1.0000e+00  2.5443e+00  2.6098e+00  8.6946e+02  3.3316e+02  5.5905e+02
  1.0000e+00  0.0000e+00  1.3307e+00         nan         nan         nan         nan
  1.0000e+00  1.0000e+00  6.8955e-01         nan         nan         nan         nan
  1.0000e+00  2.0000e+00  4.3163e-01         nan         nan         nan         nan
  1.0000e+00  3.0000e+00  3.0764e-01         nan         nan         nan         nan
  1.5000e+00  -1.0000e+00  2.7562e+00  1.6356e+00  2.4369e+03  1.4899e+03  6.3002e+02
  1.5000e+00  0.0000e+00  1.5368e+00  1.7503e+00  1.8649e+03  1.0655e+03  5.8628e+02
  1.5000e+00  1.0000e+00  6.2662e-01         nan         nan         nan         nan
  1.5000e+00  2.0000e+00  3.3293e-01         nan         nan         nan         nan
  1.5000e+00  3.0000e+00  2.2234e-01  9.8814e-02  5.3437e+01  5.4079e+02  3.4633e+03
  2.0000e+00  -1.0000e+00  2.8018e+00         nan         nan         nan         nan
  2.0000e+00  0.0000e+00  1.7151e+00  1.2981e+00  1.0413e+03  8.0222e+02  6.5398e+02
  2.0000e+00  1.0000e+00  6.1218e-01         nan         nan         nan         nan
  2.0000e+00  2.0000e+00  2.7760e-01  1.6340e-01  8.4565e+02  5.1754e+03  3.1574e+03
  2.0000e+00  3.0000e+00  1.7540e-01  6.2875e-02  2.8480e+02  4.5297e+03  1.2980e+04
  3.0000e+00  -1.0000e+00  2.8459e+00         nan         nan         nan         nan
  3.0000e+00  0.0000e+00  1.8262e+00  8.0495e-01  1.9382e+03  2.4079e+03  1.6010e+03
  3.0000e+00  1.0000e+00  6.5060e-01  6.5607e-01  3.2964e+02  5.0245e+02  9.1848e+02
  3.0000e+00  2.0000e+00  2.1307e-01         nan         nan         nan         nan
  3.0000e+00  3.0000e+00  1.2423e-01  3.3392e-02  3.4941e+01  1.0464e+03  7.6316e+03
# B = 1 fit: K_B = 6.4291e+02 * <Phi_B>^-0.5391 ± 0.2692  (n = 20)

# Block size B = 2
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  3.0000e-01  -1.0000e+00  1.9741e+00  2.0806e+00  3.1264e+02  1.5026e+02  9.3380e+01
  3.0000e-01  0.0000e+00  1.4717e+00  1.3457e+00  1.9757e+02  1.4682e+02  1.0957e+02
  3.0000e-01  1.0000e+00  1.1383e+00  9.1089e-01  2.1480e+01  2.3581e+01  1.0980e+02
  3.0000e-01  2.0000e+00  9.1015e-01         nan         nan         nan         nan
  3.0000e-01  3.0000e+00  7.4960e-01  4.7572e-01  3.8850e+02  8.1666e+02  2.8572e+02
  5.0000e-01  -1.0000e+00  2.0196e+00         nan         nan         nan         nan
  5.0000e-01  0.0000e+00  1.3021e+00         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  8.9869e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  6.6507e-01  3.5826e-01  7.0223e+01  1.9601e+02  5.1364e+02
  5.0000e-01  3.0000e+00  5.2028e-01  2.3580e-01  2.5683e+02  1.0892e+03  3.6478e+02
  7.0000e-01  -1.0000e+00  2.2265e+00  1.6893e+00  1.8044e+02  1.0681e+02  1.1319e+02
  7.0000e-01  0.0000e+00  1.2687e+00  1.0154e+00  7.0852e+01  6.9777e+01  6.3422e+01
  7.0000e-01  1.0000e+00  7.8159e-01  4.7355e-01  1.9651e+02  4.1496e+02  3.2747e+02
  7.0000e-01  2.0000e+00  5.3976e-01         nan         nan         nan         nan
